2026-01-20 19:57:00.176; INFO; StreamPlugin; 24820; 35076] StreamPlugin::SendRequest, (Reply)From SystemDevice(0x02) to {D9129F1F-298E-47B2-9944-E175534ACA06}, result: 0x00000000
2026-01-20 19:57:00.176; VERBOSE; StreamPlugin; 24820; 35076] StreamPlugin::SendRequest, reply: {
  Result:0,
}
2026-01-20 19:57:00.177; INFO; StreamPlugin; 24820; 35076] StreamPlugin::ConnectionHandler::SendResultThread, send reply packet, SN: 3
2026-01-20 19:57:00.187; VERBOSE; GPUMode; 24820; 34072] [WindowProc] WM_POWERBROADCAST
2026-01-20 19:57:00.188; VERBOSE; GPUMode; 24820; 34072] [CheckDisplayConnectStatus] Begin
2026-01-20 19:57:00.190; VERBOSE; GPUMode; 24820; 34072] [CheckDisplayConnectStatus] ATKCOMMAND_DISPLAY_CONNECT_STATUS Return : 10050
2026-01-20 19:57:00.190; VERBOSE; GPUMode; 24820; 34072] [CheckDisplayConnectStatus] HDMI1 on DGPU
2026-01-20 19:57:00.190; VERBOSE; GPUMode; 24820; 34072] [CheckDisplayConnectStatus] DP1 on DGPU
2026-01-20 19:57:00.190; VERBOSE; GPUMode; 24820; 34072] [CheckDisplayConnectStatus] End
2026-01-20 19:57:00.190; VERBOSE; GPUMode; 24820; 34072] [CheckDisplayConnectStatus] lastStatus: 0, pDisplayConnectStatus: 0
2026-01-20 19:57:00.190; VERBOSE; GPUMode; 24820; 34072] [CheckDisplayConnectStatus] End
2026-01-20 19:57:00.190; VERBOSE; GPUMode; 24820; 34072] [DeleteGPUCache] Begin
2026-01-20 19:57:00.194; VERBOSE; GameVisual; 24820; 11168] GVUserHiddenWndProc(): PBT_APMRESUMEAUTOMATIC.
2026-01-20 19:57:00.194; INFO; SoulKeyServicePlugin; 24820; 5792] Soulkey Plugin : Power resumed..
2026-01-20 19:57:00.194; VERBOSE; GameVisual; 24820; 11168] GameVisual::CheckResumeSetting: g_hasDoneResumeSetting = 0.
2026-01-20 19:57:00.194; INFO; GameVisual; 24820; 11168] GameVisual::ResumeSetModeThread() Entering execution. 

2026-01-20 19:57:00.195; INFO; GameVisual; 24820; 11168] GameVisual::ResumeSetModeThread() leave. 

2026-01-20 19:57:00.197; VERBOSE; GPUMode; 24820; 34072] [DeleteGPUCache] End
2026-01-20 19:57:00.197; VERBOSE; GPUMode; 24820; 34072] [CheckDisplayStatus] Begin
2026-01-20 19:57:00.199; INFO; GameLibraryPlugin; 24820; 26760] PBT_APMRESUMESUSPEND
2026-01-20 19:57:00.202; INFO; SystemFeature; 24820; 3876] [ModernStandby] Set OS to hibernate success.
2026-01-20 19:57:00.202; INFO; SystemFeature; 24820; 3876] [ModernStandby] canHibernate : 1, {102}
2026-01-20 19:57:00.202; VERBOSE; SystemFeature; 24820; 3876] OnDeviceChange : 32772
2026-01-20 19:57:00.202; VERBOSE; SystemFeature; 24820; 3876] OnDeviceChange : 32772
2026-01-20 19:57:00.202; VERBOSE; SystemFeature; 24820; 3876] OnDeviceChange : 32772
2026-01-20 19:57:00.202; VERBOSE; SystemFeature; 24820; 3876] OnDeviceChange : 32772
2026-01-20 19:57:00.202; VERBOSE; SystemFeature; 24820; 3876] OnDeviceChange : 32772
2026-01-20 19:57:00.202; VERBOSE; SystemFeature; 24820; 3876] OnDeviceChange : 32772
2026-01-20 19:57:00.202; VERBOSE; SystemFeature; 24820; 3876] OnDeviceChange : 32772
2026-01-20 19:57:00.202; VERBOSE; SystemFeature; 24820; 3876] OnDeviceChange : 32772
