2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[21]: msedgewebview2.exe (PID=14380)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Added process[21]: msedgewebview2.exe (PID=14380)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Checking process[22]: armourycrate.exe (PID=21696)
2026-01-13 20:46:57.025; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Log file path = C:\ProgramData\ASUS\ARMOURY CRATE Service\NVGPUProcess.log
2026-01-13 20:46:57.026; VERBOSE; GPUMode; 3764; 25512] [EnumGPUProcess] Writing info for process #1: o (PID=21424)
2026-01-13 20:46:57.085; INFO; GameLibraryPlugin; 3764; 13316] PBT_APMRESUMESUSPEND
2026-01-13 20:46:57.109; INFO; StreamPlugin; 3764; 3328] StreamPlugin::ConnectionHandler::ConnectionThread, received command packet, SN: 1
2026-01-13 20:46:57.109; INFO; StreamPlugin; 3764; 29312] StreamPlugin::PostNotice, From ThrottleControl(0x02) to {467227BF-4B16-462A-8ABB-9BA331EE45DB}(1), notice[Cmd]: HandleOPModeChanged
2026-01-13 20:46:57.109; INFO; StreamPlugin; 3764; 29312] StreamPlugin::ConnectionHandler::SendResultThread, send reply packet, SN: 1
2026-01-13 20:46:57.111; INFO; StreamPlugin; 3764; 3328] StreamPlugin::ConnectionHandler::ConnectionThread, received command packet, SN: 2
2026-01-13 20:46:57.112; INFO; StreamPlugin; 3764; 25008] StreamPlugin::PostNotice, From ThrottleControl(0x02) to {4DC2157A-9687-45EB-982E-E5328E617509}(100), notice[Cmd]: ScenarioProfileReceiveServiceMessage
2026-01-13 20:46:57.112; INFO; StreamPlugin; 3764; 25008] StreamPlugin::ConnectionHandler::SendResultThread, send reply packet, SN: 2
2026-01-13 20:46:57.115; VERBOSE; ScenarioProfile; 3764; 12060] ScenarioProfile::DoScenarioProfileReceiveServiceMessage_Notice Begin
2026-01-13 20:46:57.116; VERBOSE; ScenarioProfile; 3764; 12060] (ScenarioProfile)DoScenarioProfileReceiveServiceMessage_Notice: Command : AppProfileChange
2026-01-13 20:46:57.116; VERBOSE; ScenarioProfile; 3764; 12060] (ProfileHelper)SetCache: Enter
2026-01-13 20:46:57.116; VERBOSE; ScenarioProfile; 3764; 12060] (ProfileHelper)SetCache: wait lock_guard
2026-01-13 20:46:57.116; VERBOSE; ScenarioProfile; 3764; 12060] (ProfileHelper)SetCache: pass lock_guard
2026-01-13 20:46:57.116; VERBOSE; ScenarioProfile; 3764; 12060] (JsonHelper)LoadJsonFile: Enter
